Product_name,Processor,Graphics adapter,Memory,Display,Storage,Weight,Links,side_1,side_2,SD Card Reader_spec,SD Card Reader_value,Networking_spec,Networking_value,CPU Performance Rating_spec,CPU Performance Rating_value,Performance Rating_spec,Performance Rating_value,PCMark_10_Score_spec,PCMark_10_Score_value,Memory_spec,Memory_value,DPC_Latencies_spec,DPC_Latencies_value,Drive_Performance_spec,Drive_Performance_value,3DMark_Performance_spec,3DMark_Performance_value,Performance Rating - Percent_spec,Performance Rating - Percent_value,Brightness Distribution,Center,Contrast,Color Space,Greyscale,RGB Balance,Gamma,Display_Display P3 Coverage,Display_sRGB Coverage,Display_AdobeRGB 1998 Coverage,Response Times_Response Time Grey 50% / Grey 80% *,Response Times_Response Time Black / White *,Response Times_PWM Frequency,Screen_Brightness middle,Screen_Brightness,Screen_Brightness Distribution,Screen_Black Level *,Screen_Contrast,Screen_Colorchecker dE 2000 *,Screen_Colorchecker dE 2000 max. *,Screen_Colorchecker dE 2000 calibrated *,Screen_Greyscale dE 2000 *,Screen_Gamma,Screen_CCT,Screen_Total Average (Program / Settings),Sequential Read,Sequential Write,4K Read,4K Write,4K-64 Read,4K-64 Write,Access Time Read,Access Time Write,Score Read,Score Write,Score Total
Galaxy Book4 Pro 16 Laptop ,"Intel Core Ultra 7 155H 16 x 3.8 - 4.8 GHz, 64 W PL2 / Short Burst, 28 W PL1 / Sustained, Meteor Lake-H","Intel Arc 8-Cores iGPU, 31.0.101.5333","16 GB 
, LPDDR5x-7467, Dual-Channel, onboard","16.00 inch 16:10, 2880 x 1800 pixel 212 PPI, capacitive, ATNA60CL07-0, OLED, glossy: yes, HDR, 120 Hz","Samsung PM9B1 512GB MZVL4512HBLU, 512 GB 
, 407 GB free","1.539 kg ( = 54.29 oz / 3.39 pounds), Power Supply: 163 g ( = 5.75 oz / 0.36 pounds)","Samsung homepage
Samsung notebook section",Hidden screws under inserted rubber feet,Space for a second M.2 2280 SSD,Intel Core Ultra 7 155H,87.8 MB/s,,,,,"Intel Core Ultra 7 155H, Arc 8-Cores",88.5 pt,"Arc 8-Cores, Ultra 7 155H, Samsung PM9B1 512GB MZVL4512HBLU",6713 Points,"Intel Core Ultra 7 155H, Arc 8-Cores",91209 MB/s,"Arc 8-Cores, Ultra 7 155H, Samsung PM9B1 512GB MZVL4512HBLU",1736.9 μs *,Samsung PM9B1 512GB MZVL4512HBLU,61 pt,,,"Intel Core Ultra 7 155H, Intel Arc 8-Cores iGPU",50.5 pt,: 97 %,: 385 cd/m²,: ∞:1 (Black: 0 cd/m²),1.1 | 0.5-29.43 Ø5,1.4 | 0.57-98 Ø5.3,(Argyll 2.2.0 3D),: 2.24,99.5,100,97.5,0.64 ?,0.68 ?,240 ?,385,391,97,,,1.1,1.8,,1.4,2.24 98%,6444 101%,,,,,,,,,,,,
AcePC Wizbox AI mini PC review: Intel Meteor Lake goes mini,"Intel Core Ultra 7 155H 16 x 3.8 - 4.8 GHz, Meteor Lake-H","Intel Arc 8-Cores iGPU, 31.0.101.5008","32 GB 
, DDR5-4800",,"Rayson RS512GSSD710 512 GB PCIe 4.0 NVMe, 512 GB 
, 400 GB free","840 g ( = 29.63 oz / 1.85 pounds), Power Supply: 500 g ( = 17.64 oz / 1.1 pounds)",,,,,,Intel Wi-Fi 7 BE200 320MHz,1634 (750min - 1729max) MBit/s,Intel Core Ultra 7 155H,80.9 pt,"Intel Core Ultra 7 155H, Arc 8-Cores",73.5 pt,"Arc 8-Cores, Ultra 7 155H, Rayson RS512GSSD710 512 GB PCIe 4.0 NVMe",7297 Points,"Intel Core Ultra 7 155H, Arc 8-Cores",63807 MB/s,"Arc 8-Cores, Ultra 7 155H, Rayson RS512GSSD710 512 GB PCIe 4.0 NVMe",983.89 μs *,Rayson RS512GSSD710 512 GB PCIe 4.0 NVMe,61.6 pt,"Intel Arc 8-Cores iGPU, Intel Core Ultra 7 155H",92.1 pt,"Intel Core Ultra 7 155H, Intel Arc 8-Cores iGPU",73.3 pt,,,,,,,,,,,,,,,,,,,,,,,,,,3756MB/s,2494MB/s,50.6MB/s,136.6MB/s,825MB/s,1280MB/s,0.179ms,0.084ms,1251Points,1666Points,3505Points
"Lenovo Legion Pro 5 16IRX9 laptop review: Great performance, but a little heavy","Intel Core i9-14900HX 24 x 1.6 - 5.8 GHz, 187 W PL2 / Short Burst, 104 W PL1 / Sustained, Raptor Lake-HX Refresh","NVIDIA GeForce RTX 4070 Laptop GPU - 8 GB VRAM, Core: 1705 MHz, Memory: 2050 MHz, 140 W TDP, GDDR6, 551.86, Advanced Optimus, MUX","32 GB 
, DDR5-5600, Dual-Channel, 22-16-16-31","16.00 inch 16:10, 2560 x 1600 pixel 189 PPI, BOE NE160QDM-NYC, IPS, BOE0B38, glossy: no, 165 Hz","Samsung PM9A1 MZVL21T0HCLR, 1024 GB ","2.46 kg ( = 86.77 oz / 5.42 pounds), Power Supply: 1.076 kg ( = 37.95 oz / 2.37 pounds)","Lenovo homepage
Lenovo notebook section",Smooth aluminum alloy top with PC-ABS plastic for the bottom,Dark gray unicolor surfaces readily attract dust and fingerprints,,,Intel Wi-Fi 6E AX211,1205 (1100min - 1317max) MBit/s,Intel Core i9-14900HX,83.3 pt,"Intel Core i9-14900HX, NVIDIA GeForce RTX 4070 Laptop GPU",99.3 pt,"NVIDIA GeForce RTX 4070 Laptop GPU, i9-14900HX, Samsung PM9A1 MZVL21T0HCLR",8550 Points,"Intel Core i9-14900HX, NVIDIA GeForce RTX 4070 Laptop GPU",78979 MB/s,"NVIDIA GeForce RTX 4070 Laptop GPU, i9-14900HX, Samsung PM9A1 MZVL21T0HCLR",989.1 μs *,Samsung PM9A1 MZVL21T0HCLR,83 pt,"NVIDIA GeForce RTX 4070 Laptop GPU, Intel Core i9-14900HX",58.6 pt,"Intel Core i9-14900HX, NVIDIA GeForce RTX 4070 Laptop GPU",72.5 pt,: 91 %,: 384 cd/m²,: 1097:1 (Black: 0.35 cd/m²),"0.97 | 0.5-29.43 Ø5, calibrated: 0.77",1.5 | 0.57-98 Ø5.3,(Argyll 2.2.0 3D),: 2.24,69.3,99.4,70.1,11.9 ?,8.9 ?,,384,366,91,0.35,1097,0.97,3.57,0.77,1.5,2.24 98%,6709 97%,,,,,,,,,,,,
"Xiaomi Redmi Watch 4 smartwatch review - Beautiful, but with software flaws",,,,"1.97 inch 15:13, 450 x 390 pixel 302 PPI, capacitive, AMOLED, glossy: yes",,"48 g ( = 1.69 oz / 0.11 pounds), Power Supply: 10 g ( = 0.35 oz / 0.02 pounds)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,555,,,,,,,,,,,,,,,,,,,,,,
Navimow i105E in a practical test: Segway's affordable robotic mower does without a boundary wire thanks to EFLS 2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JMGO N1 Ultra 4K projector review: Project stunning 4K images on the ceiling and anywhere thanks to gimbal design,,,,,,,,Stand with turntable,Gimbal suspension on both sides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A15 5G smartphone review – Important updates for the affordable phone,"MediaTek Dimensity 6100+ 8 x 2 - 2.2 GHz, Cortex-A76 / A55",ARM Mali-G57 MP2,4 GB ,"6.50 inch 19.5:9, 2340 x 1080 pixel 396 PPI, capacitive touchscreen, AMOLED, glossy: yes, 90 Hz","128 GB UFS 2.2 Flash, 128 GB 
, 102 GB free",200 g ( = 7.05 oz / 0.44 pounds) ( = 0 oz / 0 pounds),"Samsung homepage
Samsung notebook section","Bottom: 3.5-mm audio jack, microphone, USB-C port, speaker",Top: microphone,,,,,,,,,,,,,,,,,,,,,: 96 %,: 705 cd/m²,: ∞:1 (Black: 0 cd/m²),1.88 | 0.5-29.43 Ø5,1.5 | 0.57-98 Ø5.3,(Calman 2D),: 2.116,,,,,,,705,701,96,,,1.88,4.57,,1.5,2.116 104%,6501 100%,,,,,,,,,,,,
Gigabyte G6X 9KG (2024) review: Affordable gaming notebook with RTX 4060,"Intel Core i7-13650HX 14 x 1.9 - 4.9 GHz, 65 W PL2 / Short Burst, 45 W PL1 / Sustained, Raptor Lake-HX","NVIDIA GeForce RTX 4060 Laptop GPU - 8 GB VRAM, Core: 2100 MHz, Memory: 2000 MHz, 105 W TDP, GDDR6, 31.0.15.5176, Optimus, Mux-Switch","16 GB 
, DDR5-4800, Dual-Channel-Mode, two memory slots (both in use)","16.00 inch 16:10, 1920 x 1200 pixel 142 PPI, BOE NE160WUM-NX6, IPS, glossy: no, 165 Hz","Gigabyte AG450E1024-SI, 1024 GB 
, 890 GB free","2.552 kg ( = 90.02 oz / 5.63 pounds), Power Supply: 590 g ( = 20.81 oz / 1.3 pounds)",Gigabyte homepage,"Left: Slot for a cable lock, USB 3.2 Gen 1 Type-A, combo audio jack","Right: USB 3.2 Gen 2 Type-A, USB 3.2 Gen 2 Type-C with Power Delivery",,,Intel Wi-Fi 6E AX211,1683 (1630min - 1706max) MBit/s,,,"Intel Core i7-13650HX, NVIDIA GeForce RTX 4060 Laptop GPU",56.1 pt,"NVIDIA GeForce RTX 4060 Laptop GPU, i7-13650HX, Gigabyte AG450E1024-SI",7613 Points,"Intel Core i7-13650HX, NVIDIA GeForce RTX 4060 Laptop GPU",59896 MB/s,"NVIDIA GeForce RTX 4060 Laptop GPU, i7-13650HX, Gigabyte AG450E1024-SI",2316.1 μs *,Gigabyte AG450E1024-SI,83.3 pt,"NVIDIA GeForce RTX 4060 Laptop GPU, Intel Core i7-13650HX",88 pt,"Intel Core i7-13650HX, NVIDIA GeForce RTX 4060 Laptop GPU",86 pt,: 81 %,: 353 cd/m²,: 1681:1 (Black: 0.21 cd/m²),"5.21 | 0.5-29.43 Ø5, calibrated: 3.61",3.6 | 0.57-98 Ø5.3,(Argyll 2.2.0 3D),: 2.367,41.8,62.4,43.3,40.5 ?,21.6 ?,,353,318,81,0.21,1681,5.21,19.95,3.61,3.6,2.367 93%,7138 91%,,,,,,,,,,,,
Lenovo Legion Pro 7 16 (2024) review: Cream of the crop amongst RTX 4080 laptops,"Intel Core i9-14900HX 24 x 1.6 - 5.8 GHz, 185 W PL2 / Short Burst, 130 W PL1 / Sustained, Raptor Lake-HX Refresh","NVIDIA GeForce RTX 4080 Laptop GPU - 12 GB VRAM, Core: 1665 MHz, Memory: 2250 MHz, 175 W TDP ( including 25 W Dynamic Boost), GDDR6, 31.0.15.5176, Advanced Optimus","32 GB 
, DDR5-5600, Dual-channel mode, two memory slots (both in use)","16.00 inch 16:10, 2560 x 1600 pixel 189 PPI, BOE CQ NE16QDM-NZB, IPS, Dolby Vision, G-Sync, glossy: no, HDR, 240 Hz, Adaptive Sync","SK Hynix HFS001TEJ9X115N, 1024 GB 
, PCIe 4, M.2-2280, 901 GB free","2.656 kg ( = 93.69 oz / 5.86 pounds), Power Supply: 1.01 kg ( = 35.63 oz / 2.23 pounds)","Lenovo homepage
Lenovo notebook section","Left: USB 3.2 Gen 1 (USB-A), Thunderbolt 4 (USB-C; DisplayPort)","Right: Combo audio jack, webcam shutter switch, USB 3.2 Gen 1 (USB-A)",,,Killer Wi-Fi 6E AX1675i 160MHz Wireless Network Adapter,1648 (1587min - 1681max) MBit/s,,,"Intel Core i9-14900HX, NVIDIA GeForce RTX 4080 Laptop GPU",82.1 pt,"NVIDIA GeForce RTX 4080 Laptop GPU, i9-14900HX, SK Hynix HFS001TEJ9X115N",8923 Points,"Intel Core i9-14900HX, NVIDIA GeForce RTX 4080 Laptop GPU",78390 MB/s,"NVIDIA GeForce RTX 4080 Laptop GPU, i9-14900HX, SK Hynix HFS001TEJ9X115N",1350.2 μs *,SK Hynix HFS001TEJ9X115N,92.2 pt,"NVIDIA GeForce RTX 4080 Laptop GPU, Intel Core i9-14900HX",100 pt,"Intel Core i9-14900HX, NVIDIA GeForce RTX 4080 Laptop GPU",97.4 pt,: 88 %,: 487 cd/m²,: 1160:1 (Black: 0.42 cd/m²),"1.12 | 0.5-29.43 Ø5, calibrated: 0.54",1.4 | 0.57-98 Ø5.3,(Argyll 2.2.0 3D),: 2.242,98.5,99.9,86.7,12.6 ?,5.8 ?,,487,460,88,0.42,1160,1.12,2.26,0.54,1.4,2.242 98%,6809 95%,,,,,,,,,,,,
Dragon's Dogma 2 review: Laptop and desktop benchmarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
